fast,slow,atr_sl,atr_tp,trades,total_return,cagr,max_drawdown,sharpe
9,21,0.9,1.6,8,-0.008558226886697495,-0.10606254977382812,-0.7215100293527339,0.9100925484662884
9,21,1.0,1.8,8,-0.008654835908199598,-0.1071981747969073,-0.7215916700031813,0.9100641977668881
9,21,0.9,1.8,8,-0.008378565157856843,-0.10394710497020632,-0.7213946715524111,0.9100278761818064
9,21,1.0,2.0,8,-0.00821091900138593,-0.10196897071963884,-0.7213066921553798,0.909763864631148
9,21,0.9,2.0,8,-0.007934648251043064,-0.09870032527695394,-0.7211096399086296,0.9097276938158446
11,21,1.0,1.6,7,-0.010075512371342965,-0.12374493600590397,-0.722577557314313,0.8316795240387883
11,21,1.0,1.8,7,-0.010075512371342965,-0.12374493600590397,-0.722577557314313,0.8316795240387883
11,21,1.0,2.0,7,-0.010075512371342965,-0.12374493600590397,-0.722577557314313,0.8316795240387883
11,21,0.9,1.6,7,-0.009567229128880417,-0.1178577216905119,-0.7222842768141005,0.8314689502430249
11,21,0.9,1.8,7,-0.009567229128880417,-0.1178577216905119,-0.7222842768141005,0.8314689502430249
11,21,0.9,2.0,7,-0.009567229128880417,-0.1178577216905119,-0.7222842768141005,0.8314689502430249
5,55,1.0,1.6,7,-0.008491721647254868,-0.10528001539866438,-0.7209570742498633,0.8309557366667075
5,55,0.9,1.6,7,-0.007948170256784404,-0.09886056367435325,-0.7205553933354187,0.8306882661726155
5,55,1.0,1.8,7,-0.007634742269437722,-0.09513961137932336,-0.720406925933924,0.7745804781039043
5,55,1.0,2.0,7,-0.007634742269437722,-0.09513961137932336,-0.720406925933924,0.7745804781039043
5,55,0.9,1.8,7,-0.007091190878967146,-0.08865302911588002,-0.7200051411666077,0.774390912512499
5,55,0.9,2.0,7,-0.007091190878967146,-0.08865302911588002,-0.7200051411666077,0.774390912512499
7,55,0.9,1.6,7,-0.007806995545954543,-0.09718631885263085,-0.7164956894752101,0.7726258993685808
7,55,1.0,1.6,7,-0.007840593158447762,-0.09758502599754404,-0.7164956894752101,0.7725998203695361
7,55,0.9,1.8,7,-0.007038266424737261,-0.08801915592001353,-0.71600200823836,0.7723694994027059
7,55,0.9,2.0,7,-0.007038266424737261,-0.08801915592001353,-0.71600200823836,0.7723694994027059
7,55,1.0,1.8,7,-0.007071864037230369,-0.08842159979310216,-0.71600200823836,0.7723434247396679
7,55,1.0,2.0,7,-0.007071864037230369,-0.08842159979310216,-0.71600200823836,0.7723434247396679
11,34,1.0,1.6,6,-0.009272076171475074,-0.11442235942224066,-0.7181198962119065,0.7420870334728621
